zip_code,project_status,planning_neighborhood,lead_agency,general_housing_program,specific_program_area,project_type,housing_tenure,project_lead_sponsor,total_project_units,mohcd_affordable_units,%_affordable,sro_units,studio_units,1bd_units,2bd_units,3bd_units,4bd_units,5+_bd_units,mobility_units,family_units,senior_units,tay_units,homeless_units,disabled_units,losp_units,public_housing_replacement_units,20%_ami,30%_ami,40%_ami,50%_ami,55%_ami,60%_ami,80%_ami,90%_ami,100%_ami,105%_ami,110%_ami,120%_ami,130%_ami,150%_ami,ami_undeclared
94105,Pre-Construction,Financial District,MOHCD/OCII,MOHCD 100% Affordable,Multifamily Rental Program,New Construction,Rental,Multiphase Project Sponsor not Assigned,125,124,99,0,0,0,0,0,0,0,0,0,124,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124
94105,Pre-Construction,South of Market,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Rental,Hines Interests Ltd.,205,25,12,0,5,9,11,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0
94105,Pre-Construction,South of Market,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Rental,"Reuben, Junius & Rose, LLP",144,19,13,0,8,3,8,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0
94105,Pre-Construction,South of Market,OCII,Inclusionary Housing,OCII Inclusionary Rental Program,New Construction,Rental,Multiphase Project Sponsor not Assigned,340,102,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
94105,Pre-Construction,South of Market,OCII,MOHCD 100% Affordable,Multifamily Rental Program,New Construction,Rental,Multiphase Project Sponsor not Assigned,280,277,99,0,0,0,0,0,0,0,0,279,0,0,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277
94107,Construction,Potrero Hill,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Ownership,"Heights Properties, LLP",28,3,11,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
94107,Construction,Potrero Hill,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Rental,Ciaran & Patrick Harty,64,9,14,0,2,3,3,1,0,0,0,9,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,2,0,0,0,0
94107,Construction,Potrero Hill,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Rental,"Potrero Partners, LLC",260,42,16,0,8,17,15,2,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0
94107,Construction,Potrero Hill,MOHCD,MOHCD 100% Affordable,HOPE SF,New Construction,Rental,BRIDGE Housing,157,156,99,0,0,40,54,51,11,0,24,155,0,0,0,0,0,117,0,49,0,106,0,1,0,0,0,0,0,0,0,0,0
94107,Construction,South of Market,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Ownership,"Reuben, Junius & Rose, LLP",127,18,14,0,4,6,5,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0
94107,Construction,South of Market,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Rental,"Reuben, Junius & Rose, LLP",619,87,13.666666666666666,0,5,5,6,0,0,0,0,16,0,0,0,0,0,0,0,0,0,46,16,0,16,0,0,0,16,0,0,0,0
94107,Construction,South of Market,MOHCD,MOHCD 100% Affordable,Multifamily Rental Program,New Construction,Rental,Related California,85,84,99,0,15,24,22,23,0,0,13,57,0,0,22,0,22,0,0,0,0,27,0,25,32,0,0,0,0,0,0,0,0
94107,Pre-Construction,Potrero Hill,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Ownership,"Reuben, Junius & Rose, LLP",110,17,15,0,3,7,6,1,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0
94107,Pre-Construction,Potrero Hill,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Ownership,Workshop 1,21,3,14,0,0,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
94107,Pre-Construction,Potrero Hill,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Rental,TM Build LLC,25,6,24,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0
94107,Pre-Construction,Potrero Hill,MOHCD,MOHCD 100% Affordable,Multifamily Rental Program,New Construction,Rental,Tenderloin Neighborhood Development Corporation (TNDC),120,119,99,0,50,0,39,30,0,0,12,119,0,0,60,0,60,0,0,60,0,18,0,27,14,0,0,0,0,0,0,0,0
94107,Pre-Construction,South of Market,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Ownership,Sergio Nibbi,15,2,13,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
94107,Pre-Construction,South of Market,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Rental,"560 Brannan Street, LLC",120,18,15,0,10,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,4,0,0,0,4,0,0,0,0
94107,Pre-Construction,South of Market,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Rental,"Reuben, Junius & Rose, LLP",524,84,16,0,15,48,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,17,0,0,0,18,0,0,0,0
94108,Pre-Construction,Chinatown,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Ownership,"Acme Development, LLC",32,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
94108,Pre-Construction,Nob Hill,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Ownership,"Leavitt Architecture, Inc.",21,3,14,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
94109,Building Rehabilitation (Construction),Downtown/Civic Center,MOHCD/HSH,MOHCD 100% Affordable,HSH Homekey,Rehabilitation,Rental,Episcopal Community Services,214,212,99,212,0,0,0,0,0,0,0,0,0,0,212,0,212,0,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0
94109,Building Rehabilitation (Pre-Construction),Nob Hill,MOHCD,MOHCD 100% Affordable,Multifamily Rental Program,Rehabilitation,Rental,Chinatown Community Development Center,68,62,91,60,0,2,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0
